StudentId,STATEATTEND1,STATEATTEND2,STATE
d215a7e2-4428-4c35-bd48-60bef8f738c2,,,"DECSTATENC,DECSTATENY"
6e50c1dd-3880-4127-b76f-f85383497262,,,
a830639a-c082-4e12-b0a5-2c5115101940,ACTSTATEATTEND1IL,ACTSTATEATTEND2CA,
1b0f34d5-1c1b-4482-8f22-3bf35f86f1d4,ACTSTATEATTEND1TX,ACTSTATEATTEND2CA,
62ecc436-b4c0-4f10-aa64-e851ee241650,,,"DECSTATEMT,DECSTATESD,DECSTATEWY"
8d3f24f6-e50c-41f6-a153-530c854e495f,ACTSTATEATTEND1CA,ACTSTATEATTEND2AZ,
f3314c48-800d-429d-88bb-2bde3f9232ca,ACTSTATEATTEND1HI,ACTSTATEATTEND2OR,
f1fa632d-c77f-4821-b39a-56a38f192149,,,"DECSTATECA,DECSTATEFL,DECSTATETX"
513f5d89-e6d6-463f-8563-8f5aaf6adbe3,ACTSTATEATTEND1MA,ACTSTATEATTEND2CT,
a308bf9c-988d-4502-85aa-a13984300d77,,,
16d8fc14-bc79-4087-8dd1-61da23023d4c,ACTSTATEATTEND1OK,,"DECSTATECO,DECSTATEMT,DECSTATENY"
1c9dea4a-069b-4653-9133-c9c74c330915,,,
3e97cdc4-dfea-4335-91fb-f419517fca09,,,"DECSTATEAL,DECSTATEFL,DECSTATETN"
a9d41fa3-259a-4f94-934f-583469a4c671,,,
ec85803a-1bfe-464b-89ba-87b15f530975,,,"DECSTATEAL,DECSTATEFL,DECSTATEGA"
30f3912f-5b20-4b9b-bbde-3e56db14dfc7,,,
f26c2f1f-3d8e-46f3-84bb-6563f7c88ef1,,,
3e72a016-4ffe-482b-a49d-53a6b067c36f,,,"DECSTATEAZ,DECSTATEOR,DECSTATEWA"
b6393611-fad3-4f52-ae3e-da0ba247cf6b,ACTSTATEATTEND1VA,,
a677dd14-4f21-4bc7-8280-f5a8a701d0a9,ACTSTATEATTEND1OH,,
e44bd9da-ebbc-44b2-9984-7b8346c0db5c,,,"DECSTATEGA,DECSTATENC,DECSTATESC"
314ed082-4fe0-4ba6-b86b-b0fccbba51bd,,,
b85bf7dd-4205-4fcf-8b9c-589acbf0d8ea,,,"DECSTATECA,DECSTATEPA,DECSTATETX"
d31f1d5d-0d4e-4a79-a18c-f97122af5ff9,,,DECSTATENC
